File Name,Length (seconds),Time of Recording,Attire,Description
01.mp4,08,Day,Full T-shirt & Trouser,Writing something in the notebook while sitting on the bed
02.mp4,09,Day,Full T-shirt & Trouser,Exercise (Hand up & down)
03.mp4,09,Day,Full T-shirt & Trouser,Getting up from the sleeping position from the bed; Putting a mask on the face; walking
04.mp4,10,Day,Full T-shirt & Trouser,Picking a book from the floor and putting it on the bed; sitting on the bed
05.mp4,05,Day,Full T-shirt & Trouser,Exercise (hand down & up with body bending)
06.mp4,08,Day,Full T-shirt & Trouser,Exercise then sitting down on the floor
07.mp4,03,Day,Full T-shirt & Trouser,Exercise (sitting and standing)
08.mp4,04,Day,Full T-shirt & Trouser,Sitting to sleeping on the floor
09.mp4,07,Day,Full T-shirt & Trouser,Sleeping on the floor to sitting and then standing
10.mp4,12,Day,Full shirt & Trouser,Opening the window curtain and the window
11.mp4,12,Day,Full shirt & Trouser,Closing the window curtain and the window
12,10,Night,Full T-shirt 2 & Trouser,Changing pages of a book while sitting on the bed; standing
13,08,Night,Full T-shirt (different) & Trouser,Sitting on the floor
14.mp4,08,Night,Full T-shirt (different) & Trouser,Sitting on the floor & drinking water from the water bottle
15.mp4,07,Night,Full T-shirt (different) & Trouser,Reading newspaper while sitting on the floor
16.mp4,13,Night,Full T-shirt (different) & Trouser,Reading while sitting on the bed; Back toward the camera
17.mp4,12,Night,Full T-shirt (different) & Trouser,Drinking water from a water bottle while sitting on the bed Putting the water bottle on the bed
18.mp4,11,Night,Full T-shirt (different) & Trouser,Walking; sitting on the wait and eating biscuits
19.mp4,06,Night,Full T-shirt (different) & Trouser,Picking the pen from the floor and putting it on the bed
20.mp4,09,Night,Full T-shirt (different) & Trouser,Talking on the phone while sitting on the bed
