File Name, Length,Description
01.mp4,08 sec, Sitting on the bed to sleeping right side on the bed. Face towards camera.
02.mp4,06 sec,Sitting on the bed to sleeping left side on the bed. Face towards the camera.
03.mp4,06 sec,Sitting on the bed to sleeping left side on the bed. Face towards the ceiling.
04.mp4,05 sec,From sleeping left side on the bed (Face towards the ceiling) to sitting on the bed.
05.mp4,10 sec,Coming to the bed and reading book in the sitting position. Front view of the subject. One leg folded.
06.mp4,12 sec,Sitting on the bed (front view) to reading the book while supporting towards the wall. Side view.
07.mp4,07 sec,Reading book while sitting on the chair; Front view., Leg straight.
08.mp4,06 sec,Walking in the room.
09.mp4,04 sec,Reading book while walking in the room.
10.mp4,03 sec,Reading book while walking in the room.
11.mp4,09 sec,Walking to sitting on the chair and then reading book.
12.mp4,07 sec,Reading book while sitting on the chair to stand up and keeping the book on the chair and going out of the room.
13.mp4,06 sec,Walking to sitting on the chair (side view).
14.mp4,05 sec,Sitting on the chair (side view) to walking.
15.mp4,07 sec,Walking to picking a mobile phone from the ground and then sitting on the chair.,
16.mp4,03 sec,Picking the mobile phone from the ground while sitting on the chair.
